Date,DayOfWeek,Open,High,Low,Close,Adj Close,Volume,OC Difference,HL Difference,OC %Change,HL %Change,Close_Status,Close_Difference,Same Bracket,Avg_OC_Spread_10_Day,Avg_Volume_10_Day,Volatility_10_Day,Price_Change_Magnitude,Price_Direction,MA_Volume_Ratio,Close_Bracket,Close_Lag_5,Close_Lag_4,Close_Lag_3,Close_Lag_2,Close_Lag_1,ShortEMA,LongEMA,MACD,SignalLine,MACD_Histogram
2023-11-10,5,15252.360352,15535.200195,15237.169922,15529.120117,15529.120117,4722140000,-276.7597650000007,298.0302730000003,0.018145372821834094,-0.019184192624432436,0,,0,,,,,,,15500,15099.490234,15154.929688,15296.019531,15313.240234,15187.900391,15529.120117,15529.120117,0.0,0.0,0.0
2023-11-09,4,15351.120117,15382.110352,15171.320313,15187.900391,15187.900391,5313970000,163.21972600000117,210.79003899999952,-0.010632431037996364,-0.013703583850091959,0,-341.2197260000012,0,,,,341.2197260000012,0,,15100,14919.549805,15099.490234,15154.929688,15296.019531,15313.240234,15476.62477453846,15503.844581740741,-27.219807202280208,-5.443961440456042,-21.775845761824165
2023-11-08,3,15313.900391,15343.19043,15220.879883,15313.240234,15313.240234,4685550000,0.6601569999984349,122.31054700000095,-4.31083514417013e-05,-0.007971650196092948,1,125.33984300000157,1,,,,125.33984300000157,1,,15300,14664.910156,14919.549805,15099.490234,15154.929688,15296.019531,15451.488691378698,15489.725741167353,-38.237049788654986,-12.00257911009583,-26.234470678559155
2023-11-07,2,15201.769531,15335.44043,15153.30957,15296.019531,15296.019531,4354460000,-94.25,182.13086000000112,0.006199936119791975,-0.011876467508797927,0,-17.220703000000867,1,,,,17.220703000000867,0,,15200,14409.780273,14664.910156,14919.549805,15099.490234,15154.929688,15427.570359012745,15475.377133006808,-47.806773994063406,-19.163418086889344,-28.64335590717406
2023-11-06,1,15137.160156,15180.19043,15064.910156,15154.929688,15154.929688,4345850000,-17.769532000000254,115.28027400000065,0.0011739013009621124,-0.007594125681860807,0,-141.08984299999975,1,,,,141.08984299999975,0,,15100,14335.509766,14409.780273,14664.910156,14919.549805,15099.490234,15385.6256403954,15451.640285228526,-66.01464483312702,-28.533663436136884,-37.48098139699014
2023-11-03,5,14985.120117,15149.780273,14965.290039,15099.490234,15099.490234,4918750000,-114.37011700000039,184.49023400000078,0.007632245594765184,-0.012177749820490798,0,-55.43945399999939,0,,,,55.43945399999939,0,,15000,14180.419922,14335.509766,14409.780273,14664.910156,14919.549805,15341.604808642262,15425.555096248636,-83.95028760637433,-39.61698827018438,-44.33329933618995
2023-11-02,4,14856.950195,14930.759766,14792.80957,14919.549805,14919.549805,4962950000,-62.59961000000112,137.95019599999978,0.004213489927499964,-0.009239328618369238,0,-179.94042900000022,0,,,,179.94042900000022,0,,14900,14109.570313,14180.419922,14335.509766,14409.780273,14664.910156,15276.673269620374,15388.073222822812,-111.39995320243725,-53.97358125663496,-57.42637194580229
2023-11-01,3,14453.679688,14677.860352,14441.889648,14664.910156,14664.910156,4545120000,-211.23046799999975,235.9707039999994,0.014614303939181065,-0.016076641849767027,0,-254.63964900000065,0,,,,254.63964900000065,0,,14600,14381.639648,14109.570313,14180.419922,14335.509766,14409.780273,15182.555867524932,15334.505588243344,-151.9497207184122,-73.56880914899041,-78.3809115694218
2023-10-31,2,14340.860352,14420.44043,14232.400391,14409.780273,14409.780273,4315630000,-68.91992100000061,188.04003900000134,0.00480584283706444,-0.013039826343223647,0,-255.1298829999996,0,,,,255.1298829999996,0,,14400,14745.860352,14381.639648,14109.570313,14180.419922,14335.509766,15063.667314521097,15266.007416743838,-202.34010222274082,-99.3230677637405,-103.01703445900033
2023-10-30,1,14283.980469,14388.200195,14225.860352,14335.509766,14335.509766,4149320000,-51.52929699999913,162.33984299999975,0.003607488620684639,-0.011282845720788205,0,-74.27050700000109,0,,4631374000.0,,74.27050700000109,0,0.895915553354145,14300,14604.849609,14745.860352,14381.639648,14109.570313,14180.419922,14951.64307628708,15197.081664836887,-245.4385885498068,-128.54617192095378,-116.89241662885303
