Date,Close/Last,Volume,Open,High,Low
08/21/2023,14936.69,--,14762.01,14958.87,14739.37
08/18/2023,14694.84,--,14589.71,14744.57,14557.83
08/17/2023,14715.81,--,14943.34,14949.58,14698.29
08/16/2023,14876.47,--,15021.63,15077.05,14874.02
08/15/2023,15037.65,--,15172.08,15192.88,15014.36
08/14/2023,15205.59,--,14988.42,15206.26,14972.01
08/11/2023,15028.07,--,15010.52,15102.53,14973.67
08/10/2023,15128.84,--,15217.29,15366.29,15072.49
08/09/2023,15101.71,--,15286.99,15288.76,15077.91
08/08/2023,15273.05,--,15279.41,15295.80,15148.25
08/07/2023,15407.85,--,15355.62,15410.85,15258.92
08/04/2023,15274.92,--,15420.74,15523.31,15258.69
08/03/2023,15353.54,--,15287.77,15436.59,15270.72
08/02/2023,15370.74,--,15561.15,15561.36,15321.44
08/01/2023,15718.01,--,15696.98,15748.43,15636.57
07/31/2023,15757.00,--,15774.30,15803.55,15702.74
07/28/2023,15750.93,--,15630.17,15788.48,15617.75
07/27/2023,15464.93,--,15734.03,15795.51,15416.05
07/26/2023,15499.26,--,15514.04,15571.16,15411.91
07/25/2023,15561.42,--,15483.06,15622.69,15482.04
07/24/2023,15448.02,--,15475.15,15504.67,15374.66
07/21/2023,15425.67,--,15554.95,15600.54,15410.57
07/20/2023,15466.09,--,15717.67,15771.84,15429.87
07/19/2023,15826.35,--,15888.16,15932.05,15781.96
07/18/2023,15841.35,--,15671.72,15895.68,15607.71
07/17/2023,15713.28,--,15608.28,15745.67,15576.51
07/14/2023,15565.60,--,15610.00,15720.06,15531.00
07/13/2023,15571.98,--,15432.48,15602.74,15420.71
07/12/2023,15307.23,--,15279.35,15364.09,15209.71
07/11/2023,15119.06,--,15068.13,15135.29,14974.16
07/10/2023,15045.64,--,15031.95,15066.44,14924.64
07/07/2023,15036.85,--,15070.50,15210.63,15032.56
07/06/2023,15089.45,--,15054.10,15106.45,14969.14
07/05/2023,15203.78,--,15165.36,15275.18,15162.66
07/03/2023,15208.69,--,15190.54,15232.96,15153.60
06/30/2023,15179.21,--,15085.24,15213.75,15081.57
06/29/2023,14939.95,--,14965.55,14986.89,14876.94
06/28/2023,14964.57,--,14876.25,15051.08,14865.81
06/27/2023,14945.91,--,14751.57,14972.31,14726.75
06/26/2023,14689.02,--,14866.66,14982.82,14687.02
06/23/2023,14891.48,--,14879.23,14983.73,14821.81
06/22/2023,15042.32,--,14797.89,15044.22,14794.95
06/21/2023,14867.45,--,15019.01,15038.90,14826.02
06/20/2023,15070.15,--,15036.48,15127.42,14946.72
06/16/2023,15083.92,--,15272.65,15284.65,15073.45
06/15/2023,15185.48,--,14949.70,15246.62,14930.12
06/14/2023,15005.69,--,14894.10,15017.10,14784.62
06/13/2023,14900.85,--,14911.26,14931.83,14770.14
06/12/2023,14784.30,--,14617.35,14789.60,14571.36
06/09/2023,14528.36,--,14574.24,14672.85,14487.48
06/08/2023,14484.54,--,14319.24,14503.31,14314.69
06/07/2023,14303.29,--,14573.27,14647.91,14283.88
06/06/2023,14558.09,--,14526.10,14593.50,14476.99
06/05/2023,14556.50,--,14550.13,14662.95,14516.88
06/02/2023,14546.64,--,14517.08,14595.81,14442.15
06/01/2023,14441.51,--,14269.09,14493.31,14219.94
05/31/2023,14254.09,--,14293.56,14375.38,14216.16
05/30/2023,14354.99,--,14465.59,14520.17,14301.08
05/26/2023,14298.41,--,13990.55,14329.49,13982.16
05/25/2023,13938.53,--,13920.89,13986.87,13812.18
05/24/2023,13604.48,--,13589.02,13655.73,13520.92
05/23/2023,13672.54,--,13773.68,13827.10,13662.91
05/22/2023,13849.74,--,13805.33,13893.71,13792.97
05/19/2023,13803.49,--,13842.69,13874.42,13763.90
05/18/2023,13834.62,--,13608.95,13844.76,13606.81
05/17/2023,13589.26,--,13474.52,13608.33,13419.35
05/16/2023,13426.01,--,13385.37,13498.44,13384.77
05/15/2023,13413.51,--,13352.26,13419.81,13297.85
05/12/2023,13340.18,--,13407.02,13427.42,13256.56
05/11/2023,13389.78,--,13376.85,13411.70,13306.08
05/10/2023,13347.83,--,13308.41,13384.42,13204.79
05/09/2023,13201.11,--,13228.64,13254.81,13193.88
